l7GQ-fR-DsA	tea
2cCGTlNYZCQ	Manipur (sign 3)
JC80hJOObmg	mango
07jCt4FqQxY	method
I5IcpZp0BfE	mean (sign 1)
L8RxN_IwuxU	marigold
46tD7Du6BNs	measuring tape
JtykP_hFReg	message (sign 1)
2QrMULTorPY	Meghalaya (sign 1)
kZneFf1ONo8	melt (candle) (sign 2)
siXvRrMuC0s	manage, administer, handle, operate, supervise
Ohcc1XNi-s4	meeting (sign 1)
MiGluii6UII	Maruti car
i5FfdjLi5IQ	magic
3vXJ605MFbU	maybe
N0lQZi87koY	meeting (sign 2)
N05i2V0_8kI	Malaysia
CELYbb3X9fk	mechanic (sign 2)
5WFDWbMDynQ	vodka (sign 2)
hCyqeJeKGyI	vodka (sign 1)
E5mWb7nGYmQ	Vishnu
R6KdIjSPkvo	vision (sign 1)
0hhs7A5uf3E	vision (sign 2)
sPqivRKBiNc	visual
XzRvTWXXufk	Vivekananda Rock Memorial
df3ewqju9L8	vocabulary
CHt94rpZVOI	Vodafone
GyhrF2L7s74	vocation
__Rz2PaTB1c	Malayalam
6Jc3GEN51ks	visa (sign 2)
8m3p1BEhCUw	virus (sign 1)
Yympd7Zsia4	visa (sign 1)
XjXXmj-9kFE	virus (sign 2)
8Tsv4klWWuY	mechanic (sign 3)
Jd3to2MXy6s	medal
o_Dvm4U4sLo	make (sign 2)
w2bUy2rPYPI	menu
4ILXbXTUUp4	menstruation, menses, menstrual cycle, periods
EqGyUaKwRjg	Virat Kohli
onsdyXAWNqY	violin
1dzqHHOtvXI	Vietnam (sign 1)
u0VMIS7wC-Q	Vietnam (sign 2)
Lkztp3ZDShA	view, perspective (sign 1)
UgR3sxHLsDg	view, perspective (sign 2)
77A4jL_zT1I	view, scene
sTrWqNmE5HA	village (sign 1)
U-dEobzY4o4	village (sign 2)
YIns3vxfhnk	male, masculine
XwQxJ5FXoQ8	May
0Xhmme0IrvU	mature
NEm3d_l7G58	Mahendra Singh Dhoni
HnmjmqSfmPs	make a long story short (meaning)
B4_sWGyQgrA	maths
b-Oi5Oa5TIA	message (sign 2)
5ye1yjh3Z20	make a long story short (sign 2)
yTmK54y80bs	Malawi
wPTa0UQJY_w	measure
922S3GXI7eI	meet
fCJA3uu02WA	melt (ice)
GXpfHLOLU_4	Meghalaya (sign 2)
pi57mKwYBNQ	make (sign 1)
pFwwq-q_VTk	make a long story short (sign 1)
sjpdu42KxwI	meat (sign 1)
NZXhDTubUiI	videographer (sign 2)
jWuOEGUh5v8	Vidyasagar Setu
2CbOSGxS80s	video relay service (VRS)
Iub1Yb-tOAI	video (sign 2)
cW1Vl1AqGzI	video (sign 1)
r_xF77i3RGw	victory, success, triumph (sign 2)
Zr3LQ0FwcUM	victory, success, triumph (sign 1)
sErgS9d1UdM	vice president
VH9BKxQgE4I	veterinarian
AygZ8ATgf_c	Vaishno Devi
K3pj5alsYHc	valley
3xKJDf869EY	value, worth, merit (positive)
HtG9j-D3n8c	Varanasi
L1m5VhGiv_g	variety, diversity
8WAJ_vejYOo	vegetables
uIJEGc6U5iU	vehicle
Q-S63Q62ZiU	Venezuela
GOwke9T4QOU	verb
Ky8LfzgWGDU	very hot (sign 1)
RwdFk6p7tyo	very hot (sign 2)
ILv9XMPLqoo	very wealthy person, magnate, tycoon
nweVa6JYyYw	very
VV3za4vmTTs	vessel
DfokHjizYRY	valley (meaning)
dQd7vQzxfJE	Vadodara
7BK0J1hZ7_Q	vacation, holidays
WxIEetxTkzk	Urdu
qCoHkpGP5CA	Uruguay
MmrdlTXfNco	Uttar Pradesh
3X7DZIiH2ZQ	Uzbekistan
T--ANw8Oxkk	Uttarakhand
9sK2PFaxoHw	upset, disturbed
rn4NJPtL1m8	up
jMT-IXiUqYU	unofficial
XdGYd0-mOy8	unlimited, boundless, infinite
VYSankCl2f8	university
j1ggaP_d2cs	universal design (meaning)
pvCPTa5YUSQ	United States of America
-x6DzWY7lmk	United Nations
_vlN9I_YSG8	United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 2)
tEJlKXA7Lkg	United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 1)
RhS6nAUP3C4	United Kingdom
D9jI_HByl1Q	United Arab Emirates
5y87G_irytQ	unite, unity (sign 2)
Ni3iHE6bas8	unite, unity (sign 1)
ZzpQw5V7gD0	understand, comprehend
TmsgikIaXu4	understand, comprehend, grasp (sign 2)
dPSB-HxRET4	understand, comprehend, grasp (sign 1)
Cqtgx6BSkRk	umpire (cricket)
qMD3sfogugU	unemployed
G2Lhs-1HRys	uncomfortable
aIJKbhWx3So	Under the weather
-7IkPH6iIQA	uncle
ZThUGVQhL08	umbrella (sign 2)
1xTATM3v8k4	umbrella (sign 1)
j-qHEAz6J6A	Umaid Bhawan Palace
mLANykny44w	Ukraine
3lMNHGXNQ3Q	Uganda
n0NXSLz7Skk	wrong, incorrect
8arkJfd_jyQ	writer, author
UFePdoNR_KM	write
Z_aF7Dndg5o	wrestling (sign 2)
dWeSkZ2K4TA	wrestling (sign 1)
0zTZkTkBAoU	World Federation of the Deaf Youth Section (WFDYS)
wMm24t1NrcM	worry
5buFHMBPDy4	wound
Y1qTt6mL5ck	World Federation of the Deaf (WFD)
Y1qTt6mL5ck	World Federation of the Deaf (WFD)
9bU0eltCrYQ	World Association of Sign Language Interpreters (WASLI)
tKmXdtC6FLA	workshop
FlZ8Xekr-JA	work sign 3
0TGJCFJv2iU	Mahavir Jayanti (sign 1)
qoGtYKREfLY	Maha Shivaratri (sign 1)
DTWS5Oy3kcY	Maharashtra
YMuk_8H4EWM	Madhya Pradesh
x-lubm0ha08	Mahatma Gandhi
3ncXcBiwveA	magician (sign 2)
OQ1e6lpNybo	Maha Shivaratri (sign 2)
AJenZvPmsXY	magician (sign 1)
eGXitOKnND8	Macau
cj4nM0IFGYQ	Maha Shivaratri (sign 3)
Vc81XotPSFs	Madagascar
VLeir-T0xmU	magnet
1vpIZUFKZpQ	lunch
RwIFUiFGMGw	luck (sign 1)
S_Dj4XBbbzM	Lotus Temple
2LLe-kRAu0o	inauguration (sign 2)
xMvpodrz6dM	idea (sign 2)
uE8YfF7bTGM	identity
XeV_Qqks978	illegal, unlawful (sign 1)
gG-xmfo-y3A	immediate, instant, swift
oUcoHPxXsbA	ice hockey
1f6OchgCQrE	I, me
kZnl4XgNVgU	increase (sign 3)
BLazXqvPnKk	in
k9C_uq11Ja0	increase (sign 1)
-NXGOOSb2sk	increase, augment
zzsrMEMxAUU	inch
RUKgTVVuVcg	increase (sign 2)
upaDJQnr9nw	independent
5Z_Rm0W-HgE	Indian Sign Language Research and Training Centre (ISLRTC)
e8r0Tt42W7Q	infinite, immeasurable, limitless
7kEbmn2BWIA	India sign 4
2MvrW4Vw7ZU	Indigo
5zBLuemgyH8	individual
DPFh6Vtj8nY	Indian Sign Language Interpreters Association (ISLIA)
gvFkCJni120	Indira Gandhi
1yVn9e5zDKU	Indian Sign Language ISL sign 2
tq8jQqoHYFA	Indian Sign Language ISL sign 1
ueiJkNzXxzw	influence, affect
gOHt4silLhA	India sign 5
H4pn0Iqrg8A	inform, apprise, notify (sign 1)
ELCvZrWheyk	initiative, drive (sign 2)
J4G3ltp807A	inform, apprise, notify (sign 2)
oqq2I0ePK3Y	initiative, drive (sign 1)
yB2sJTE2Mek	insect (sign 2)
xSAoWBeLvfo	injury
GXhOBQRBsb4	Instagram (sign 1)
XhewfEcC070	innovate
_g40sO4Upvg	Iraq
P8c9TRiU7HI	invite, welcome
r607N-5gkHs	iron (metal) (sign 1)
AilePB-_EKE	It's a piece of cake
OB6FvmCHsDg	invent, create
yYf_JyfDvLU	Ireland
sfpvbKAz4Oo	iron (metal) (sign 2)
p2tLsgPiaWw	Iran
SB50UhgrFMY	Islam, Muslim (sign 2)
lV1k10LuRGk	intelligence, knowledge
lQyrTnOO4XE	Instagram (sign 2)
fGyKwTrS88U	lift (sign 1)
ZaBfhzfL_II	long jump (sign 1)
Pq-OLkv13Bw	light (electricity)
8biyNZmIKsk	limit
rbu6XJFG-uI	livelihood (sign 1)
OSRpGh3d0cI	lifelong, long term
i_zyHcuPs6s	light (less weight)
v3hY00Fy7rE	library
nWsRyI0iqEQ	lift (sign 3)
T9eBnmIRtqg	like
WKgIi8YdHtI	local train
F9JOa0fXPI4	less, few
EvwF_HCmPxY	LG Mobile
4BNqHj-lQaE	list (sign 2)
nkox-ajvLnc	lift (sign 2)
MFWHZG1Xnr4	livelihood (sign 2)
HnydoJ4McR8	litre
x-uAyPToZMs	license (sign 2)
wKDAEDyBAY0	life jacket (meaning)
Zb_TG66NcQM	Libya
71MQl0F0_No	letter
oEegSY9O_AI	long jump (sign 2)
LH_-eRo-vYw	list, points (sign 3)
ZcVzjZeVwj0	lock
RPzCiRXVcr8	little, meager
1TiirpYN_W8	line
u7dV3wCpaqM	lonely, isolated, alone
bbWDUkaUXLE	lightning
GZi36Nr1AXk	lentils
Tfxp43vVHpY	listen (visual)
Bc_Km33uz74	level (sign 1)
zSst5y5j_fI	lips
gnQLgdWLk0c	Liberia
ea8VG_U1OM4	live
UPBonZ_8HIM	life
7lcNAWEHBmA	Let someone off the hook
XFG6tJjEar8	lie, false
RhEpVt-AEK8	lion
0xVWH6F3Fz0	lose
ArrUPiaqzHA	license (sign 1)
kKCEuKZ3lV0	list (sign 1)
Y0G5Sqs-lYw	librarian
uOs0878HhR4	license (sign 3)
f1U4dYb9r0A	listen (sound)
a4hj7imNy64	Let the cat out of the bag, Spill the beans
lypZOubhfds	link, connect, associate
N6DxyKcaZVs	lighthouse
Cgk-fX-KFhw	livelihood (sign 3)
WlhFpHM7lYY	look, gaze, see
CDd6olbtjWE	local
prb13TWFfLY	logic, rationale
0EiwsY7ofnA	long
lZt6lnBA9Gc	level (sign 2)
UPh2mJTMLIQ	lollipop
eO-TvyY-J_o	wood
oEb4cNh9cng	Israel
oX-Mo3au4eY	international (sign 2)
PJL-GZq0Tlk	involve
WaTcrOr3-gk	international (sign 1)
U_I4IzFnhdw	itch, scratch
7kHhJbwb-xg	interest (finance)
TR_tbUxLUco	it
IctKxBrrjJI	interpret, interpreter
N5icmuz-NIU	irritate (meaning)
-nITY8LhYgc	iron (clothes)
5xLVmxL3p0k	Islam, Muslim (sign 1)
Zj_vIX40c4U	internet
TirzXnBaSt0	Italy
vFZMA4_VtAY	iPhone
qiK-4WwmTNg	island
6gXuMMAxOm0	interest (sign 1)
wfHGKTc0WuY	wool
QSdgD2M4Xdw	word
t9pvXOgaJe8	work sign 1
1EoEG8Pvc8Q	wifi (sign 1)
Ir-Qe2kkROw	wifi (sign 2)
AXkvz_N39pg	wifi (sign 3)
TXtLoo3D-xQ	Wikipedia
fC-PT3F6GFo	win
ADtWeEnpLfY	wind
NQ7Gnl9nRuY	window
rCfYRtWfYVA	wine (sign 1)
Bo35LBOce64	wine (sign 2)
nqH15OqXPnI	winner, victor, champion (meaning)
9tph00_pAf4	winner, victor, champion
NQTfv_uhpfg	winter
EJ0UG10b714	wise, intelligent (sign 2)
U-DAmE4tzo4	wise, knowledgeable (sign 1)
LYQL5Is2IP0	without (sign 1)
9vvemJ0nr-E	without (sign 2)
CoxdEUEw9Lw	wolf
zJmlqjm_b5g	woman, female
N53qGezr7MU	woodpecker
2WaoD5fHm90	It's not rocket science
EpxAKEtJbdI	itself
yoG_mrM8Hg8	It's raining cats and dogs
5Qu6asXdlFs	interview (sign 1)
Dywl939W0wU	introduce
BX15HPM6TzE	interpret
fKwQPZnzJCg	Lenovo
pNIc3-tZCr8	it, this
syK7APT1R4w	interest (sign 2)
STdeLMDk8Sc	jacket
e3c5fUAhX2Y	Jaipur (sign 1)
jB1wqkujn00	jackfruit (sign 1)
98QpyN3f8ZU	jackfruit (sign 2)
JqUNaUjxigE	job (sign 2)
0wbIDvSCi4E	John Abraham
YHl7zDSdzVE	javelin throw
P9GAmYhGhJ0	Janmashtami (sign 1)
oksjclh3Z3M	jobless, unemployed, out of work
hXHLEKBaaNM	jobless, unemployed
ZES6f5bu19M	Jantar Mantar
SJxqZH9B3zw	jaundice
Fq_93YDbQ6s	jealous
Y0-DjFLQcLw	jam
PWi1hx2Omgo	jewelery
JSEGoqKaQM0	job (sign 1)
y1hvKgvxm5Q	What happened
04qLwQo-2MM	What is your name
emLsUwqTcMU	what time
4accXsYqRnA	what
J79s05Z0NZ8	whatever
tHNhqhFdMgQ	WhatsApp
mPZ37Qlg4B8	when (for days)
8wgrPnyzpMw	where
H0G_jCcuCWU	which
aVXHUzd1cW4	while
cGIpxkvYfys	whistle
kPx4MXMIFZI	white
kBaDVYUWeoc	whiteboard
O8jMsqDMiRE	who, whom
_DzQr-7t3Wo	why (meaning)
m4fQZijBvjo	why (sign 1)
7bqtiz4KRnE	why (sign 2)
w87_PYaYQz4	wicket (cricket)
dm6hv7A_XGI	wicketkeeper (cricket)
3Rp9c3S9HiA	wide, broad
podfgBVY9ak	wife
7h45o7GDrlo	Juhu beach
KXNl6DtK84A	jamun
zdGKXf_2HFA	Jama Masjid
Ld9qDys95es	jellyfish
63ziYT2F6ps	jasmine
dSF64aB7oIs	juice
m1LyTLlhmvA	joke, funny, tease
8JwPiK_tqTA	Jet Airways
IWCiPFCUzI0	Janmashtami (sign 2)
LwD7BG_zdXM	journalist, reporter (sign 2)
jLV6SCP_7tA	January (sign 1)
KyAcip_a8Lg	Kareena Kapoor Khan
YfbeV360wAA	kajal
WP5T6GzCCy4	June
BYY1nIP7J-E	Kali Mata (sign 1)
EvZvymz1nRo	karate
181pBJw-eWg	July
X-yEakgxzbs	Kali Mata (sign 2)
ofZ6Jo2XUn8	Kathakali
26vEFQYbzvc	Krishna
2-6FnMinc3U	knife (sign 1)
jTBahbE4_OY	know
EKp6wIukZRc	kilogram
uHAhEiTlj_M	knife (sign 2)
5abyQsJRQIY	kidney beans (sign 1)
kEMFrD53l6E	king
5c0M_nkTsmg	knock
LUZ-fo_p2eM	kiss
chPdC6gwibQ	Kumbh Mela (sign 2)
5RD0XpWkclQ	kilometre
2XbRuRKOfRE	Kuwait
Rs0EKMMQqPI	Kenya
iLrSnUDmfC4	kite
1G3VZ_HWTWI	knowledge, expertise
N0-cIcGCH3A	Kazakhstan
o610N3lN8Zo	Konark Sun Temple
x3nuREvEwis	kick out, eject (sign 1)
pCBCoT-2Bb4	kill, murder (sign 2)
FathKZe6_LI	key
OXmN5c7MCUk	Kumbh Mela (sign 1)
SHsq8VSKV_M	Korea
DTOsm_OuWLM	kind, kindhearted
3WEkK4AaiV4	kidney beans (sign 2)
QYaPv88J2iE	kitchen
ddpIUqF0dEg	kill, murder (sign 1)
WdBygG07nkU	knife (sign 3)
dT9dCqGuDCE	kick, eject, fire from job (sign 2)
B3ViGdozfp4	kidnap
JjDVZDpPjbc	keep, hold, retain, store
WuoR5g21H1Q	Kannada (sign 2)
2tp3AspW6TA	Karnataka
nbVI64uJFks	Kannada (sign 1)
VbRmhM7sUGo	wet
inBVDyEiUDk	west
3GlZqV3RSp0	jump
Fn6sZi3HUus	join (sign 2)
M9dzu-DC9Yg	Judaism
6s4UdZ5D58o	January (sign 2)
T45Hsn9ABV4	Jordan
fR8uxOsE2Nw	Jawaharlal Nehru (sign 1)
46eCCVvkyIc	Jawaharlal Nehru (sign 2)
MhZrm3H1aBE	join (sign 1)
AfgaiVsTy_k	journalist, reporter (sign 1)
xzu_Y3NfigY	jeweller
aS2e07FE2uw	Jew
xsYfnkJBmUQ	Jesus Christ
lQpBuFX4L1I	Jamaica
UrDzxGca4Vg	Jal Mahal
GgsIWmqqgoU	janitor
LVqnqzIAFGg	Jammu & Kashmir
0fKqgIRvg-8	Jharkhand
QCO3RRkzzJg	Japan
y4CEIJJVt64	jalebi
ODRI_ATiWnM	Jagannath Ratha Yatra
tDtdGkG9-OE	Jainism, Jain
atyCov9u9no	jail
HK6mbwMGSew	insult
FYU1yAIBMKk	instruct, teach
EkaFWDZrh2E	instigate, incite, provoke, spur
wFVLswbyZOc	insurance
0O7xxbvMct0	institution
rUXhFDo3Bv0	intelligent, brilliant, smart
McHijMoln7U	intelligent, knowledgeable
k3gjXKD3_XU	initiative, drive (sign 3)
1qV27cyAjEY	insect (sign 1)
4pCZtQ36l1k	informal, casual
lqPqubp-3IE	inspire
E6yxMBZEYhs	inform, apprise, notify (sign 3)
UJHjwQ7yclM	welcome (reply to thanks)
s7U2zrpRFD0	welder (sign 1)
fvn1QE0yfPE	welder (sign 2)
lY5wzI7a5CE	welder (sign 3)
cXX9Fqj1fuE	well (water)
K0VsSQMEtMU	West Bengal
HJVvCxf2J4Y	West Indies
KsNrhfiqWHc	weave
wBCqfnnNfSo	weaver
Tv1bOlYSqYI	website (sign 1)
0DYcaZmhlkY	weather
SJaqmqaD77k	website (sign 2)
INYvz3YRvT4	wedding reception (meaning)
zsfMMuKrUUg	wedding reception (sign 1)
pdCmQ4U7C7c	wedding reception (sign 2)
_rHStCQCPno	wedding
Ni5kmFuBXzI	Wednesday
EFuaKRVN4Yw	week, one week (sign 1)
sNYOD_Qd7Mw	week, one week (sign 2)
5ToU3NVFX_Q	weekly (example)
95KlTHhKlmk	weekly
sJ6Zv0fi1xM	weight, weigh, weighing scale (sign 1)
lDO3r1artKs	weight, weigh, weighing scale (sign 2)
qjnZDMjWiuk	weight, weigh, weighing scale (sign 3)
4LndvMQ2dO0	weightlifting
tgJL-RUAvO8	weird, absurd
MjRPq3GCSZk	weird, odd
tcHUMXaIuw0	Indian Sign Language Teachers  Association (ISLTA)
5p0_OOFy_NY	Indonesia
FdxGN0ru6F8	India sign 3
DSr0qd_JY8w	India Gate
dkwDWRmVwUc	India sign 2
VAhELbOjQFc	India sign 1
ui_ACRhp1jY	incite, ignite, inflame, instigate, stir up, provoke (sign 2)
rQkxqEgXEYQ	include
lts3gE45zV4	Independence Day
rj0GN2scIsU	in, under
hTxZxP5ypNk	image, photo
xgKs0R0K6M4	impure
RxqkJA2EG0s	identity card (sign 3)
eBiQCRMwX1A	illegal, unlawful (sign 2)
M-sKe4o73uE	I don't know
Xbglx4_9h88	Iceland
go4BoZ5lX1s	ice cream (sign 3)
yBu6pCi5gag	iBall Mobile
a5kEZgbaT7w	I understand
qoU45G2WmsE	wear
4rworePKeMo	wavy hair
wru3RdDTafg	waxing (hair removal)
X5CuJTOY2g0	way (sign 1)
b9W1y77hDSc	way (sign 2)
qJ25qL-gfX8	ways, methods
h58uVxY-2uE	we
KtYQWbd8c2c	weak (sign 1)
nHdz1IK9ydw	weak (sign 2)
Yz6em7jgxK0	weak
krnKXV-ct3Q	wealthy, rich  affluent, well off
M-aaJfrtvaA	weapon
LNVUK4DX5GA	wave (sign 2)
IPUJ9bHGQgM	waterfall (sign 2)
zZs0BXEssdQ	wave (sign 1)
3qKiJRMOzsc	watermelon
T4-Q9pABqYs	waterfall (sign 1)
SlORjr0kUM4	water
7RjhIe4sKm0	washerman
rc7GRaEyQHQ	washing machine
pyrA60I4x5k	washroom
YT73Lh88yeE	waste
Roh9CQ2tF3Y	watch, guard, keep an eye on
yjI4oup9SFU	watch, wristwatch, timepiece
bIha_uKKc-U	water filter
tDtIQ2M-GRo	water motor, water pump
_prgaw9obbQ	wash (utensils) (sign 2)
Ika-iBJ4-Ns	wash (utensils) (sign 1)
eZ1NWsWssI0	wash (meaning)
Ygj0IRouWKg	wash (hands)
OkC4seOp-00	wash (face)
hUlyxPexDU0	wash (clothes)
1tst7-aazJo	warn, admonish
uhJRFZWXPEo	warm (sign 2)
3muHDD0neyo	warm (sign 1)
Gpjn1Iun6CI	warm (meaning)
6bhBP3kbyds	war (sign 2)
VfN66I8-KEk	war (sign 1)
Zux-Hazhhqo	want, desire, wish for
zyvgHgT6d7c	heart, love (romantic)
gQ_YY5vF99k	hear (eg. news)
0QITb6bNnHc	hearing
0uvuluJqqAM	hear, listen (sign 1)
AaHFB_q7AO0	headache
TIr35oN6iSE	wallet
runWN1EzmEE	wall
Q1FtAjA_raE	walk
Hk0qqXk8-nU	Wales
M24VjuHEfgo	Wait
I3haAOluERo	WAIT, HALT, STAY
DQpcpMqTpjk	waiter
9xgeOH9Jl9U	wake
fKOF7hN3cws	waist
dQABEhftkDY	zoo (sign 3)
F9xcw575Q-A	zoo (sign 2)
ws_qjks_TFo	zoo (sign 1)
qm7nogtX_GY	zip (sign 2)
CLxxQFQiTic	zip (sign 1)
x-Bc7ssevU8	Zimbabwe
b9Ad8smAqhs	zigzag
DCjd5dJLuF4	zebra
2yDcFJQ3t8Y	zebra crossing
wsWElJBdZcA	Zambia
JHyzbf0wbL0	YouTube
u2IcV4xxNSA	youth
jTiYeNeaS-s	Youth Association of the Deaf India (sign 2)
C5lKWeivlFY	Youth Association of the Deaf India (sign 1)
ZY-WTPLbMZc	yourself
Yc0Mx7DJ_Io	your
Ctij9uzbRTU	younger
WoNO_8tWHBQ	young
whLOS_LCl9U	younger brother
BauK2i6mmK4	younger sister
JYD8B88hxtk	You can't judge a book by its cover
QE4UkDB3MyE	you
LAT-u9Ww5ZU	yes (sign 1)
MXmTYGHWvvE	yes (sign 2)
3fKtgE9aQso	yesterday
yuJ6ZBt0MBw	yoga
doW1fga72Kk	yellow
oMptigXjs8w	year
LfNnApnUb0k	Yamaha Bike
5pRxQFocP7I	yak (sign 2)
lZi4g6ZWBro	yak (sign 1)
X4Vs1TVkNss	Yahoo
_Zk6T8osdEc	xylophone
pwGHjBM_o0A	0 zero
O6YJgD20e2g	bye, goodbye
u3556HSSZS8	By the skin of one's teeth
C-rIgD-yIvg	busy
8wI11m_OvYo	business (sign 2)
vt86EMAaXHM	business (sign 1)
QmCEr-G9Nug	bus conductor
I9OiCuVT6TQ	bus (sign 2)
HufgJPpb1kQ	bus (sign 1)
cigrNp7NbVY	bury
KoMeOserJ2M	burn
7c7A8VNHDg0	Burundi
vVylNakRi6s	burden, overload, strain
TK3H8rmoV1Q	burger
o9vIJZ9h9dQ	bullet train
GhK-KsZ6mlo	bull
TickiRU7XxU	bulb
s6BX-UjWPDQ	buffet (example)
oQhxACPhL1k	buffet
7n50MsM5c7A	bugle
Uuid3jSp7Wc	Bugs Bunny
UtIn2Jira9w	builder
Oql_D1R8kVE	building structure
lpFt9c1GueI	gold (very valuable) (meaning)
1rjhkQSKHSI	gold (Sign 1)
R6ILTJGPlUo	goldfish
8hPNnF65IMg	Good afternoon
z3C2pnumALw	grandfather
1sZ4BSOC8nc	grandmother
yQXFOVuS7r8	green
-MS1EdYqs48	Gujarat (sign 1)
BU67b7LtyE0	Gujarati
1s1kck3BMLM	gulab jamun
Z6JNDTUxfUc	grey (sign 2)
VkrF0Q4fWRo	group
pMUP28lpEtI	grow (hair)
Eg7eVi4c11k	grow (humans, animals, etc)
18NS94mBGS4	grow (plants)
XDNgMT4swe4	grow (snake)
08z_-ESgSP0	bucket
3v5Id7dDttk	Buddha Purnima
M0bcUWG8vrg	Buddha Statue, Hyderabad
Zgt1aed1imY	Buddhism, Buddhist (sign 1)
Ot-XctUkMY8	Buddhism, Buddhist (sign 2)
ADOlYPfw_T8	budget, funds
nGk01dUfQo0	buffalo (sign 1)
I4pibKfr0jU	buffalo (sign 2)
_OCCVPF3icI	buffalo (sign 3)
yLpc_-hWZAA	BSNL
YTwtf3S3uuM	grudge (meaning)
UceHJJVBBzU	grudge
5luUUDnqHL0	guava
9KMPc_T4bU8	guess
1z5RuDOokzk	guilt
KfqRU_5sing	Guinea
pVFFflkBVio	guitar
TrDii_6LlNg	Gujarat (sign 2)
uLSHBm4_kaw	Gujarat (sign 3)
5QEBvIx9U0w	gun (sign 1)
t9b5K6YsBk8	gun (sign 2)
xcesnw2TvT0	Guru Nanak  Jayanti
WXDDCUpUoUo	Guru Nanak
6P3Z2nkQD3c	gutka
yVj4srfLfSc	Gurudwara sign 1
ymvaZ1cxW2s	Gurudwara sign 2
dGg9jffJ8us	habit
qoMWB2o9jfE	hair dryer (sign 1)
ibTYqJp5cJ4	hands
x53QBItEZsk	Hang in there
y-bSGi85wc0	hail
GSMQDwI83aI	hair clip
MflJey4lrQk	hair dryer (sign 2)
FTNGNvDqp-g	hair
STJ38FSDE8w	half, part
VhyiA9MZWZw	half
v_BzLSp7PLM	bride
Jedn1-9fyXw	bridegroom, groom
h6LSVGsUiRA	briefcase
7P9YL1tEnVs	bright
woQgNTk9IIE	brinjal, eggplant
Z1du80pIIo0	brochure
_XI-ZBIFNdU	broom (sign 1)
LVoWdSuY_DA	broom (sign 2)
0-pxIcGvk3w	brown
Rloiqc9KybA	brick
EgnE1hPwGRs	hand cymbals (manjira)
VgrQMDa1vlI	hand sanitizer
HqsZI1n6pGU	handkerchief
o68UYF2jW_o	handpump water
f5Tm6pDk9hQ	hanger
